yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
kqZUnCQUKV0,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-08-06T13:41:05Z,https://www.youtube.com/watch?v=kqZUnCQUKV0,Abenteuer Auslandsstudium in Deutschland I FreseZoom,"Je weiter weg wir reisen, desto näher kommen wir uns selbst. 

Student Hermes Jaico reiste nicht nur fast neuntausend Kilometer weit, von Lima nach Köln, der Peruaner studiert nun auch in der Stadt am Rhein. 

Im FreseZoom erklärt er, warum sein Master in International Tourism & Event Management (M.A.) an der Hochschule Fresenius für ihn eine ganz neue Erfahrung war.

www.hs-fresenius.de/fresezoom

Musik: www.bensound.com",237,485,de,https://i.ytimg.com/vi/kqZUnCQUKV0/hqdefault.jpg,15,0
3PBP-xgJJek,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-07-05T09:50:52Z,https://www.youtube.com/watch?v=3PBP-xgJJek,Tourist go home?! Das Phänomen Overtourism,"Jedes Jahr strömen Touristen massenhaft in die Urlaubsländer.

Besonders Europa hat ein Problem mit dem Massentourismus. Welche Auswirkungen dies hat erklärt Svetlana Harms, Studiengangsleiterin Tourismus-, Hotel- und Eventmanagement an der Hochschule Fresenius in Köln im Video. 

Musik: https://www.bensound.com/",379,3900,de,https://i.ytimg.com/vi/3PBP-xgJJek/hqdefault.jpg,31,2
TRWLm5gWfhc,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-06-17T08:51:09Z,https://www.youtube.com/watch?v=TRWLm5gWfhc,Dozenten@Turntables,"In der 3. Auflage des Specials ""Dozenten@Turntables"" an unserem Hamburger Campus, standen unsere Dozierenden hinter dem DJ-Pult, legten Musik auf und heizten den Party-Gästen damit ordentlich ein. Wie das aussah, siehst Du im Video!

Erstellt wurde das Video von Stanislav Ockasov.",116,517,de,https://i.ytimg.com/vi/TRWLm5gWfhc/hqdefault.jpg,8,0
tg6f61cIEDc,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-05-31T12:11:58Z,https://www.youtube.com/watch?v=tg6f61cIEDc,Diversity Day – Ein Hoch auf die Vielfalt der Kulturen!,"Zum ersten Mal fand an der Hochschule Fresenius in Köln der Diversity Day statt. Organisiert wurde das Event von Studierenden des Masters International Tourism & Event Management. Was es mit diesem wichtigen Tag auf sich hat, erfährst Du im Video!",164,714,de,https://i.ytimg.com/vi/tg6f61cIEDc/hqdefault.jpg,3,0
FXGuCpuIPio,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-05-22T14:28:56Z,https://www.youtube.com/watch?v=FXGuCpuIPio,Medientag 2019 – Job -Fit?!,"Beim 16. Medientag des Medienmanagement Instituts an der Hochschule Fresenius treffen Vorstellungen auf Erwartungen: Die Studierenden hatten die Gelegenheit, mit zukünftigen Arbeitgebern zu diskutieren – Vertreter von Super RTL, Warner Bros. Deutschland, OMD Germany und mehr. 

Welche Bewerbungstipps die Profis haben, erfährst Du im Video.  

Musik: www.bensound.com",151,342,de,https://i.ytimg.com/vi/FXGuCpuIPio/hqdefault.jpg,3,0
KD4JZDYj2_g,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-05-21T07:24:02Z,https://www.youtube.com/watch?v=KD4JZDYj2_g,"Die Zukunft des Sportjournalismus - Gastvortrag Felix Görner, Sportredakteur RTL","Felix Görner ist leitender Sportredakteur und Kommentator bei RTL und Gast im Seminar Einführung in das Medienmanagement an der Hochschule Fresenius in Köln. Welche Tipps er für die Studierenden des Studiengangs Medien- und Kommunikationsmanagement (B.A.) hat, erfährst Du im Video.",70,864,de,https://i.ytimg.com/vi/KD4JZDYj2_g/hqdefault.jpg,4,0
jkkTfSanTxs,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-01-17T15:24:24Z,https://www.youtube.com/watch?v=jkkTfSanTxs,Happy Birthday | 10 Jahre Hochschule Fresenius München,"Wie sich unsere Hochschule in München in den letzten 10 Jahren entwickelt hat und woran sich unsere Alumni gerne zurückerinnern, erfährst Du im Video.",191,520,de,https://i.ytimg.com/vi/jkkTfSanTxs/hqdefault.jpg,5,0
YfkpzNGBdr4,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2019-01-17T15:15:34Z,https://www.youtube.com/watch?v=YfkpzNGBdr4,Happy Birthday | 10 Jahre Hochschule Fresenius Hamburg,"Wie sich unsere Hochschule in Hamburg in den letzten 10 Jahren entwickelt hat und woran sich unsere Alumni gerne zurückerinnern, erfährst Du im Video.",85,432,de,https://i.ytimg.com/vi/YfkpzNGBdr4/hqdefault.jpg,1,0
5baeOMNyqj8,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2018-08-21T11:20:17Z,https://www.youtube.com/watch?v=5baeOMNyqj8,Hochschule Fresenius -  International Business School | New York,"Um optimal auf eine Karriere in der global vernetzten Welt vorbereitet zu sein, entschied sich Felix für ein Studium bei uns. Im Video berichtet er über seine Zeit in New York. 

------------------------------------------------------------

An der International Business School der Hochschule Fresenius werden englischsprachige Bachelor-Studiengänge sowie ein Master-Programm angeboten. 
Das Studium bereitet Dich mit wahlweise einem oder zwei integrierten Auslandssemestern in New York, Shanghai oder Sydney perfekt auf das Arbeiten in der global vernetzten Welt vor.

------------------------------------------------------------

Mehr Infos unter: 

http://international.hs-fresenius.de

https://www.hs-fresenius.de/wirtschaft-medien/fachbereich/schools/international-business-school/",146,2680,de,https://i.ytimg.com/vi/5baeOMNyqj8/hqdefault.jpg,18,0
QGzTJwvMKWQ,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2018-08-08T07:51:23Z,https://www.youtube.com/watch?v=QGzTJwvMKWQ,Hochschule Fresenius - Flexibel. Erfolgreich. Berufsbegleitend.,"Du planst gerade Deinen nächsten Karriereschritt, doch dafür fehlt noch der akademische Abschluss? Du möchtest parallel zum Studium direkt ins Berufsleben eintauchen? 

Ob Du die Hochschulreife frisch in der Tasche hast, nach dem Abitur mit einer Ausbildung in Dein Berufsleben gestartet bist oder nach dem Bachelorabschluss erst einmal eine Auszeit vom Lernen genommen hast – ein berufsbegleitendes Studium an der Hochschule Fresenius bringt Dich weiter und hilft Dir, Deine Ziele zu verwirklichen. 

Mehr Informationen unter: https://berufsbegleitend.hs-fresenius.de/",76,88839,de,https://i.ytimg.com/vi/QGzTJwvMKWQ/hqdefault.jpg,6,0
