yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
o6fKBSBZjnE,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-07-11T07:14:49Z,https://www.youtube.com/watch?v=o6fKBSBZjnE,EdW 19: Wie wird Musik klein? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Wie wird Musik klein?,297,2452,unknown,https://i.ytimg.com/vi/o6fKBSBZjnE/hqdefault.jpg,21,0
X4ZKqosEvCk,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-07-04T07:07:42Z,https://www.youtube.com/watch?v=X4ZKqosEvCk,EdW 18: Was ist Risikomanagement? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Was ist Risikomanagement?,218,8400,unknown,https://i.ytimg.com/vi/X4ZKqosEvCk/hqdefault.jpg,20,0
4RfN1j8n-XE,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T11:22:55Z,https://www.youtube.com/watch?v=4RfN1j8n-XE,Die Wellenjäger 10 - Stecknadeln im Weltall,"Der erste direkte Nachweis von Gravitationswellen ist zum Greifen nahe. Aber das Ziel ist die Gravitationswellen-Astronomie!

The first direct proof of gravitational waves is within reach, but the goal is gravitational wave astronomy.",318,822,unknown,https://i.ytimg.com/vi/4RfN1j8n-XE/hqdefault.jpg,0,1
25QBPaQftk8,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T11:19:31Z,https://www.youtube.com/watch?v=25QBPaQftk8,Die Wellenjäger 9 - Weltrekord,"Für Henning und Alexander ist der Tag der Entscheidung gekommen. Gelingt es ihnen, das zufällige Quantenrauschen des Lichts so weit wie niemand zuvor abzusenken?

The decisive day has arrived for Henning and Alexander. Will they manage to reduce the light's random quantum noise further than anyone has ever managed before?",272,604,unknown,https://i.ytimg.com/vi/25QBPaQftk8/hqdefault.jpg,0,0
nYaDW43aHa0,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T11:16:51Z,https://www.youtube.com/watch?v=nYaDW43aHa0,Die Wellenjäger 8 - Hightech im Kornfeld,"Weltpremiere bei GEO600: Die Wellenjäger bauen bald zum ersten Mal gequetschtes Licht in einen Gravitationswellendetektor ein.

A world first at GEO600: The wave hunters will soon become the very first people ever to install squeezed light in a gravity wave detector.",214,587,unknown,https://i.ytimg.com/vi/nYaDW43aHa0/hqdefault.jpg,0,0
xjN1G97_TKw,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T11:13:52Z,https://www.youtube.com/watch?v=xjN1G97_TKw,Die Wellenjäger 7 - Maßgeschneidert und ferngesteuert,"Für den GEO600 entwerfen und bauen die Forscher viele der Komponenten für ihre Experimente selbst -- und entwickeln sogar eine Fernsteuerung.

The researchers design and build a lot of the components for their experiments using the GEO600 themselves -- and they are even developing a remote control system!",189,432,unknown,https://i.ytimg.com/vi/xjN1G97_TKw/hqdefault.jpg,0,0
MbsuzDjFwzo,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T11:09:42Z,https://www.youtube.com/watch?v=MbsuzDjFwzo,Die Wellenjäger 6 - Saubere Optik,"Damit kein Staubkorn den Laserstrahl stört, ist Linsensäubern angesagt ...

The lenses need to be cleaned to make sure that not a single grain of dust disrupts the laser beam ...",228,446,unknown,https://i.ytimg.com/vi/MbsuzDjFwzo/hqdefault.jpg,0,0
CB0lwOYy3X0,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T11:03:15Z,https://www.youtube.com/watch?v=CB0lwOYy3X0,"Die Wellenjäger 5 - New York, New York","Raus aus dem Labor, rüber in die USA: Eine Konferenz in New York führt die Wellenjäger dieser Welt zusammen. Was bringt die Reise?

Out of the lab, over to the USA: A conference in New York brings the wave hunters of the world together. What is accomplished on the trip?",260,530,unknown,https://i.ytimg.com/vi/CB0lwOYy3X0/hqdefault.jpg,0,0
EVy7CEm9eSo,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T10:57:54Z,https://www.youtube.com/watch?v=EVy7CEm9eSo,Die Wellenjäger 4 - Gequetschtes Licht,"Gegen die Quantennatur des Lichts: Was haben gequetschtes Licht und gezinkte Würfel gemeinsam? Manipulation im Dienste der Wissenschaft...

Against the quantum nature of light: What do squeezed light and loaded dice have in common? Manipulation in the interest of science...",224,1086,unknown,https://i.ytimg.com/vi/EVy7CEm9eSo/hqdefault.jpg,0,0
q2lGdvbBYNQ,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T10:50:36Z,https://www.youtube.com/watch?v=q2lGdvbBYNQ,Die Wellenjäger 3 - Total empfindlich,"Mit höchster Empfindlichkeit: GEO600. Wie genau funktioniert der Detektor, was sind die Herausforderungen und wo liegen seine Grenzen?

Maximum sensitivity: GEO600. How exactly does the detector work, what challenges does it face, and what are its limits?",258,1051,unknown,https://i.ytimg.com/vi/q2lGdvbBYNQ/hqdefault.jpg,0,0
